WORD|DEFINITION|TYPE|EXAMPLE|SYN
oblivious|not aware of or not concerned about what is happening around one.|adjective|she became absorbed, oblivious to the passage of time|unaware, unconscious, heedless, unmindful, insensible
consecutive|following continuously.|adjective|five consecutive months of serious decline|successive, succeeding, following, in succession, running, in a row, one after the other, back-to-back, continuous, solid, straight, uninterrupted, unbroken
